Question,Answer
생물학 장르에서 인기 있는 도서는 무엇인가요?,"생물학 장르에서 인기 있는 도서는 (최강왕) 놀라운 생물 대백과, (진짜 진짜 재밌는) 작은 생물 그림책, (아무도 몰랐던) 동물들의 별난 오줌 생활, (요리조리 열어 보는) 정글 탐험, 개구쟁이 수달은 무얼 하며 놀까요?, 와일드라이프:동물·자연·플랩북, 으랏차차 흙, 우리 집 미스터리 생물도감, 사소한 구별법, 관찰은 나의 힘:초등학생을 위한 자연 관찰 탐구서 입니다."
"논증, 설득 장르에서 인기 있는 도서는 무엇인가요?","논증, 설득 장르에서 인기 있는 도서는 설득의 논리학:말과 글을 단련하는 10가지 논리 도구, 씽크 어게인:논쟁의 기술 입니다."
문법 장르에서 인기 있는 도서는 무엇인가요?,"문법 장르에서 인기 있는 도서는 (그램그램)영문법 원정대=Gram gram, (그램그램)영문법 원정대=Gram gram:한정할인판, 아빠, 받아쓰기가 왜 어렵지?:비교하며 배우는 우리말 품사의 기초, 움직이는 우리말, 동사, 중학영문법 총정리:한권으로 끝내기, 미국 영어 회화 문법, (술술 읽히는) 쉬운 영문법 :작가·번역가·유튜버 서메리의 스토리 & 카툰 영문법 , (12만 유튜버 지후쌤의) 신기하게 영어 뇌가 만들어지는 영문법:원어민의 머릿속을 다 보여드립니다, (그램그램)영문법 원정대=Gram gram:봉사 활동, (그램그램)영문법 원정대=Gram gram:의사 표현 입니다."
"역법, 측시법 장르에서 인기 있는 도서는 무엇인가요?","역법, 측시법 장르에서 인기 있는 도서는 장영실의 생각실험실:해시계와 물시계, (째깍째깍) 시간 박물관:신기하고 재미있는 시간과 시계 이야기, 거의 모든 시간의 역사:시곗바늘 위를 걷는 유쾌한 지적 탐험, 시계와 시간, 딸꾹질 한 번에 1초 :시간이란 무엇일까? , (째깍째깍)시간 박물관 , 단 1초 동안에 :시간의 소중함을 깨우치는 책  입니다."
주제별 회화 장르에서 인기 있는 도서는 무엇인가요?,"주제별 회화 장르에서 인기 있는 도서는 (The) Great Big turnip:Through the Art Style of Paul Gauguin, 제우스, (The) Three Little Pigs:Through the Art Style of Paul Klee, Goldilocks and the Three Bears:Through the Art Style of Keith Haring, (The) Wolf and the Seven Little Goats:Through the Art Style of Camille Pissaro, Country Mouse and City Mouse:Through the Art Style of Henri Rousseau, (The) Fox and the Crane:Through the Art Style of Gustav Courbet, (The) Little Girl and the Big Bear:Through the Art Style of James Abbot McNeill Whistler, Puss in Boots:Through the Art Style of Edward Manet, (The) Angel:Through the Art Style of Auguste Renoir 입니다."
선거 장르에서 인기 있는 도서는 무엇인가요?,"선거 장르에서 인기 있는 도서는 나도 투표했어, 비밀투표와 수상한 후보들, 나도 투표했어!, 왜 투표 안 해요?, 선거 쫌  아는 10대:보호받는 청소년에서 정치하는 시민으로, 대통령의 글쓰기, (10대를 위한) 선거 수업:미래를 바꾸는 정치 사용 설명서, (대통령을 만드는) 정치컨설턴트, 민주주의와 선거, 왜 가난한 사람들은 부자를 위해 투표하는가  입니다."
양극지리 장르에서 인기 있는 도서는 무엇인가요?,"양극지리 장르에서 인기 있는 도서는 (오로라 탐험대,) 펭귄을 구해 줘, 소피 스코트 남극에 가다 , 으슬으슬 북극 탐험 입니다."
"초등(8~13세), 미상에서 인기 있는 도서는 무엇인가요?","초등(8~13세), 미상에서 인기 있는 도서는 Just me and my babysitter, Just grandma and me, Chocolate mousse for greedy goose, Just go to bed, Dear Zoo 입니다."
아시아 중앙행정 및 행정부 장르에서 인기 있는 도서는 무엇인가요?,"아시아 중앙행정 및 행정부 장르에서 인기 있는 도서는 덜미, 완전범죄는 없다:범죄 현장에서 쫓고 쫓기는 두뇌 싸움, 어느 소방관의 기도 입니다."
철학적 인간학 장르에서 인기 있는 도서는 무엇인가요?,"철학적 인간학 장르에서 인기 있는 도서는 죽음이란 무엇인가:예일대 17년 연속 최고의 명강의, 삶과 죽음에 대한 커다란 책 , 철학자에게 사랑을 묻다  입니다."
정밀기계 장르에서 인기 있는 도서는 무엇인가요?,"정밀기계 장르에서 인기 있는 도서는 Telling time, (빙글빙글 오묘하고 신비로운)안경 여행, 시간을 담는 그릇 :일리인이 들려주는 시계의 역사  입니다."
교리 장르에서 인기 있는 도서는 무엇인가요?,"교리 장르에서 인기 있는 도서는 살아생전 떠나는 지옥 관광 :고전문학, 신화, 회화로 만나는 리얼 지옥 가이드  입니다."
"30대, 남에서 인기 있는 도서는 무엇인가요?","30대, 남에서 인기 있는 도서는 무서운 늑대의 달콤한 초콜릿 가게[스트리밍] , 초코곰과 젤리곰, 우리 집에 용이 나타났어요, 기차 타고 떠나는 여행, 채소 학교와 더벅머리 옥수수, 최고의 이름:루치루치 그림책, 금붕어 유령, 눈을 크게 떠 봐!:펼치면 커지는 색깔 세상, (코딩책과 함께 보는)코딩 개념사전:코딩 어휘력이 진짜 실력이다 입니다."
시 장르에서 인기 있는 도서는 무엇인가요?,"시 장르에서 인기 있는 도서는 (최승호 시인의) 말놀이 동시집, 내 마음의 동시, 어린이 마음 시툰, 쉬는 시간에 똥 싸기 싫어:김개미 동시집, (박성우 시인의) 첫말 잇기 동시집, 우산 쓴 지렁이, 라면 맛있게 먹는 법, 내 입은 불량 입, 짝 바꾸는 날:이일숙 동시조, 글자동물원:이안 시 입니다."
"50대, 미상에서 인기 있는 도서는 무엇인가요?","50대, 미상에서 인기 있는 도서는 (The) princess in black and the mysterious playdate, (The) princess in black takes a vacation, One fine day, Leroy Ninker saddles up, (The) princess in black and the science fair scare, (The) missing bookshop, Fix that clock!, (The) enormous crocodile 입니다."
"잡저(편람, 제표, 서지, 인명록) 장르에서 인기 있는 도서는 무엇인가요?","잡저(편람, 제표, 서지, 인명록) 장르에서 인기 있는 도서는 과학향기 :라벤더 : 생활에 밑줄긋는 과학이야기 , (랜들 먼로의) 친절한 과학 그림책:간단한 단어로 설명하는 복잡한 것들 입니다."
영국 장르에서 인기 있는 도서는 무엇인가요?,"영국 장르에서 인기 있는 도서는 왕으로 만나는 위풍당당 영국 역사, 제국의 기억 제국의 유산, 책거리:세계를 담은 조선의 정물화, 영국이 만든 세계, 찰스 디킨스의 영국사 산책 입니다."
건축실무 장르에서 인기 있는 도서는 무엇인가요?,"건축실무 장르에서 인기 있는 도서는 카페의 공간학=Site specific cafe design:세계의 디자인 엿보기, (알기쉬운) 건축 설계도면 보는 법=Architecture drawing understanding, 프리콘 :시작부터 완벽에 다가서는 일 입니다."
"잡(편람, 제표, 서지) 장르에서 인기 있는 도서는 무엇인가요?","잡(편람, 제표, 서지) 장르에서 인기 있는 도서는 (세계를 바꾸는) 착한 특허 이야기, 상상 이상 미래 세상 :읽기만 해도 과학이 쉬워지는 IT 특허 동화 , (과학자도 모르는) 위험한 과학기술:실험물리학자가 던지는 기술과 문명에 대한 대담하고 유쾌한 질문 입니다."
형이상학 장르에서 인기 있는 도서는 무엇인가요?,형이상학 장르에서 인기 있는 도서는 행복의 형이상학 입니다.
프랑스문학 장르에서 인기 있는 도서는 무엇인가요?,"프랑스문학 장르에서 인기 있는 도서는 롤랑의 노래 :국내 최초 중세 프랑스어 원전 완역본 , 보들레르와 고티에:아름다움을 섬긴 두 사제, 프랑스식 사랑의 역사 입니다."
경제각론 장르에서 인기 있는 도서는 무엇인가요?,"경제각론 장르에서 인기 있는 도서는 (살아있는) 직업그림사전, (Job?) 나는 화장품회사에서 일할 거야!, (Job?) 나는 동물 병원에서 일할 거야!, (Job?) 나는 유튜브 크리에이터가 될 거야!, 내 꿈은 방울토마토 엄마:가슴 뛰는 꿈을 위한 작은 첫걸음, 게임회사에서는 하루종일 게임만 할까?, When I grow up, 다 같이 돌자 미래 직업 한 바퀴, 되자! 수의사, (클라우스 슈밥의) 제4차 산업혁명 더 넥스트 입니다."
잡저 장르에서 인기 있는 도서는 무엇인가요?,잡저 장르에서 인기 있는 도서는 현문우답 :인생보다 일상이 버거운 당신에게  입니다.
육아 장르에서 인기 있는 도서는 무엇인가요?,"육아 장르에서 인기 있는 도서는 아홉 살 성교육 사전:초등 남자아이가 꼭 알아야 할 23가지 마음 이야기, 어떻게 말해줘야 할까 :버럭하지 않고 분명하게 알려주는 방법 :오은영의 현실밀착 육아회화 , (아이를 혼내기 전 읽어야 할) 엄마의 하브루타 대화법, 아이의 공부 태도가 바뀌는 하루 한 줄 인문학:자기주도 학습력을 높이는 동기부여 문장 100, 엄마의 자존감 공부:천 번을 미안해도 나는 엄마다, 못 참는 아이 욱하는 부모:욱하는 대한민국을 변화시킬 필독 육아서, 엄마의 말하기 연습, 엄마가 말투를 바꾸면 아이는 행복해집니다:아이의 행복을 위한 엄마의 말하기 수업, 9시 취침의 기적:엄마와 아이의 습관을 바꾼 탁월한 선택, 똑똑한 엄마는 강점스위치를 켠다:자녀의 미래를 바꾸는 부모의 작은 습관 입니다."
"음운, 음성, 문자 장르에서 인기 있는 도서는 무엇인가요?","음운, 음성, 문자 장르에서 인기 있는 도서는 (손오공의 한자 대탐험)마법천자문, (신비아파트)한자 귀신:오싹 공포 한자 학습 만화, (손오공의 한자 대탐험) 마법천자문, 교과서 속 헷갈리는 우리말 완전정복, (읽으면서 바로 써먹는) 어린이 맞춤법, (읽으면서 바로 써먹는) 어린이 사자소학, (바로 알고, 바로 쓰는)빵빵한 관용어, 우리반 1등도 틀리기 쉬운 맞춤법, 무슨 말이야?, 표정으로 배우는 ABC 입니다."
"20대, 여에서 인기 있는 도서는 무엇인가요?","20대, 여에서 인기 있는 도서는 팩트풀니스:우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유, 젊은 베르테르의 슬픔, 오만과 편견, 국가란 무엇인가, 해가 지는 곳으로:최진영 장편소설, 파과:구병모 장편소설, 너를 부르는 시간, 올리버 트위스트, 이게 경제다 입니다."
학교 및 대학도서관 장르에서 인기 있는 도서는 무엇인가요?,학교 및 대학도서관 장르에서 인기 있는 도서는 아이는 도서관에서 자란다:학교도서관에서 읽고 배우고 살아가기 입니다.
경제학 장르에서 인기 있는 도서는 무엇인가요?,"경제학 장르에서 인기 있는 도서는 경제의 속살, 100원짜리만 받는 과자 가게, (만화로 보는) 맨큐의 경제학, (맘마미아) 어린이 경제왕, (존리의)금융 모험생 클럽:처음 만나는 금융동화, (빈대가족의)전지적? 절약시점, 내가 가게를 만든다면?:교과서 속 경제 지식을 쉽고 재미있게 배워요!, 세금 내는 아이들 :어린이를 위한 경제 교육 동화 , (빈대 가족의)덜렁이는 유튜브 스타, 경제기사 궁금증 300문 300답:어려운 경제정보 쉽게 읽는 법 입니다."
실지천문학 장르에서 인기 있는 도서는 무엇인가요?,"실지천문학 장르에서 인기 있는 도서는 아빠, 천체관측 떠나요!:천체관측 초보자들을 위한 가이드북 입니다."
논리학 장르에서 인기 있는 도서는 무엇인가요?,"논리학 장르에서 인기 있는 도서는 비판적 사고:어떻게 다르게 생각할 것인가, (만화로 배우는)기초 논리학:쉽게 시작하는 논리학의 필수 개념, 논리적 생각의 핵심 개념들, 크다! 작다!, (어디서든 통하는) 논리학 사용 설명서, 나는 합리적인 사람 , 나를 성장시키는 생각의 기술 :합리적으로 생각하고 글쓰고 말하기 , 어찌 이방이 사또를 치리오  입니다."
식물학 장르에서 인기 있는 도서는 무엇인가요?,"식물학 장르에서 인기 있는 도서는 식물 산책:식물세밀화가가 식물을 보는 방법, 식물:대백과사전, 식물의 책:식물세밀화가 이소영의 도시식물이야기, 들꽃 쉽게 찾기, (세밀화로 그린 보리 어린이) 풀 도감, 식물이 좋아지는 식물책, 나는 나무에게 인생을 배웠다:세상에서 가장 나이 많고 지혜로운 철학자, 나무로부터 배우는 단단한 삶의 태도들, 우리 마음속에는 저마다 숲이 있다:자연에서 배우는 삶의 지혜, (세밀화로 그린 보리 어린이) 나무 도감, (화살표) 풀꽃 도감 입니다."
한국문학 장르에서 인기 있는 도서는 무엇인가요?,"한국문학 장르에서 인기 있는 도서는 조선작가실록:작가로 보는 조선 고전, 그 남자네 집:박완서 장편소설, 그 산이 정말 거기 있었을까:박완서 장편소설, 목마른 계절:박완서 장편소설, 행복한 비밀 하나 :박성배 동화집 , 조선의 여성 명문장가들, 자전거 도둑:김소진 소설, 참 좋은 풍경:박방희 동시집, 한강 , 나혜석, 글 쓰는 여자의 탄생:한국의 페미니즘 고전 읽기 입니다."
"몸치장(몸단장), 화장 장르에서 인기 있는 도서는 무엇인가요?","몸치장(몸단장), 화장 장르에서 인기 있는 도서는 일단 21일만 운동해보기로 했습니다:체력과 습관을 바로잡는 21일 루틴의 힘, 나는 한 달에 1kg만 빼기로 했다:나를 위한 건강한 다이어트를 시작하다, 헬스의 정석:근력운동편, (건강한 피부와 숨 쉬는 모공을 만드는) 블랙헤드 홈케어:국내 최초 블랙헤드 전문가 이은미의 관리 노하우, 10kg 빼고 평생 유지합니다:욕망과 칼로리의 적정선, 당신의 운동은 몸개그였다, 나는 오늘도 나를 믿는다:정샘물의 셀프 인생 메이크업, (샤랄랄라) 멋과 유행의 역사가 궁금해!, 체간리셋 다이어트, 스킨케어 바이블 입니다."
발전 장르에서 인기 있는 도서는 무엇인가요?,"발전 장르에서 인기 있는 도서는 행복한 에너지:미래로 가는 희망 버스, (지구별을 지키는) 미래 에너지를 찾아라!, 햇빛 에너지로 움직이는 궁전, 선생님, 탈핵이 뭐예요?, (한 권으로 끝내는) 소자본 태양광발전소, 기후위기와 탈핵 :핵발전은 기후위기 대책이 될 수 없다 , 지구별을 지키는 미래 에너지를 찾아라! 입니다."
철도공학 장르에서 인기 있는 도서는 무엇인가요?,"철도공학 장르에서 인기 있는 도서는 테슬라 모터스:일론 머스크, 자동차를 혁명하다 입니다."
북아메리카 장르에서 인기 있는 도서는 무엇인가요?,"북아메리카 장르에서 인기 있는 도서는 (장애를 넘어 인류애에 이른) 헬렌 켈러 , Before she was harriet 입니다."
차이심리학 장르에서 인기 있는 도서는 무엇인가요?,"차이심리학 장르에서 인기 있는 도서는 (어린이를 위한) 자존감 수업, 자존감 수업, 나의 MBTI가 궁금하단 마리몽 , 부부 같이 사는 게 기적입니다:가족상담 전문가가 전해주는 행복한 결혼 생활의 비결, 사실은 사랑받고 싶었어:진심을 전하는, 그 어려운 일을 가능하게 하는 연결의 대화 , 센서티브, 왜 스누피는 마냥 즐거울까?:좀 더 괜찮아지고 싶은 나를 위한 심리학, 결심만 하는 당신에게:원하는 목표를 이루기 위한 자기조절력 수업 , 예민한 사람도 마음이 편안해지는 작은 습관 , 위험한 심리학:너의 마음속이 보여 입니다."
통계학 장르에서 인기 있는 도서는 무엇인가요?,"통계학 장르에서 인기 있는 도서는 (빅데이터를 지배하는) 통계의 힘, (빅데이터를 지배하는) 통계의 힘::비즈니스, 경영을 위한 통계 기법, (어린이를 위한)통계란 무엇인가 입니다."
조균류 장르에서 인기 있는 도서는 무엇인가요?,"조균류 장르에서 인기 있는 도서는 이끼와 함께:작지만 우아한 식물, 이끼가 전하는 지혜, 곰팡이 수지:곰팡이의 거의 모든 것, 버섯과 균:식물도 동물도 아닌 균류의 모든 것 입니다."
"강연집, 사평 장르에서 인기 있는 도서는 무엇인가요?","강연집, 사평 장르에서 인기 있는 도서는 역사의 쓸모:자유롭고 떳떳한 삶을 위한 22가지 통찰, 내 머리로 생각하는 역사 이야기, 저항자들의 책 , 현대사 몽타주:발견과 전복의 역사, 현재와 미래의 과거 입니다."
지구물리학 장르에서 인기 있는 도서는 무엇인가요?,"지구물리학 장르에서 인기 있는 도서는 화산:불과 생명, 우리의 지구 행성, 꿈틀꿈틀 땅속으로 지구 탐험, 뱀이 하품할 때 지진이 난다고?[스트리밍], 부글부글 땅속의 비밀, 화산과 지진, 2,556,767번째 지진이 났어요!:지진학자가 알려 주는 지진의 모든 것, 지구의 판이 궁금해:지각, 맨틀, 대륙, 판구조론으로 알아보는 판의 비밀, 지진은 위험해:단층, 지진계, 건축으로 알아보는 지진의 비밀, 화산 원정대:어린이 원정대의 이탈리아 화산 특별 체험기, 대지진이 나던 날:고정욱 재난동화 입니다."
"문장작법, 수사학 장르에서 인기 있는 도서는 무엇인가요?","문장작법, 수사학 장르에서 인기 있는 도서는 (아이의 마음과 생각이 크게 자라는) 하루 3줄:초등 글쓰기의 기적, (어린이를 위한) 글쓰기 수업, 글쓰기가 뭐가 어려워?, 유시민의 글쓰기 특강, 캐릭터 만들기의 모든 것, (상황에 맞춰 나를 표현하는) 어린이 말솜씨, 할 말 다하기, 말센스, 나는 말하듯이 쓴다:강원국의 말 잘하고 글 잘 쓰는 법, 어른의 어휘력 :말에 품격을 더하고 세상을 올바르게 이해하는 힘  입니다."
펜습자 장르에서 인기 있는 도서는 무엇인가요?,펜습자 장르에서 인기 있는 도서는 필사의 기초:좋은 문장 잘 베껴 쓰는 법 입니다.
현대물리학 장르에서 인기 있는 도서는 무엇인가요?,"현대물리학 장르에서 인기 있는 도서는 원자와 분자, 브르노와 수소 이야기, (처음 읽는)양자물리학, 힉스, 신의 입자 속으로:무엇으로 세상은 이루어져 있는가, (마리 퀴리의)위대한 유산, 방사능이 도대체 뭘까? , 세상을 이루는 가장 작은 입자 이야기, 엘러건트 유니버스:초끈이론과 숨겨진 차원, 그리고 궁극의 이론을 향한 탐구 여행, 원자, 인간을 완성하다  입니다."
건축공학 장르에서 인기 있는 도서는 무엇인가요?,"건축공학 장르에서 인기 있는 도서는 신통방통 동물의 집, 지붕이 들려주는 건축 이야기, 도시는 무엇으로 사는가:도시를 보는 열다섯 가지 인문적 시선, 상상 초월 미래의 집, (피라미드부터 초고층 빌딩까지)세계의 건축물 , 아찔아찔 높이 솟은 집, 공간이 만든 공간:새로운 생각은 어떻게 만들어지는가, 어디서 살 것인가, 공간의 미래 :코로나가 가속화시킨 공간 변화 , 건축의 탄생 입니다."
특수교육 장르에서 인기 있는 도서는 무엇인가요?,"특수교육 장르에서 인기 있는 도서는 두 아이는 어떻게 영재학교를 준비했을까?:자녀 영재학교 보내는 엄마표 교육법, 왕따 대장이 들려주는 왕따 퇴치법:왕따를 없애는 완벽한 방법, 어느날 갑자기 가해자 엄마가 되었습니다:학교폭력의 터널을 지나온 엄마의 조심스런 고백, 괜찮아 ADHD, 폭력 없는 교실은 어디 있나요?, 바로 찾아 쓰는 열 가지 비법:발달장애ㆍ자폐 스펙트럼 아이를 위한 생활 밀착 길라잡이 , 배움이 느린 아이들 , 아스퍼거 자폐 완치프로젝트, 장난이 폭력이 되는 순간, 책 읽는 뇌 입니다."
"제불, 보살, 불제자 장르에서 인기 있는 도서는 무엇인가요?","제불, 보살, 불제자 장르에서 인기 있는 도서는 (초등학생을 위한) 부처님 이야기 , 붓다 :세계적인 영적 스승 디팩 초프라가 쓴 붓다 일대기  입니다."
입법 장르에서 인기 있는 도서는 무엇인가요?,"입법 장르에서 인기 있는 도서는 국회의 비밀:제헌국회와 대한민국 그리고 통일, 보좌의 정치학:우리가 몰랐던 국회 보좌관의 모든 것 입니다."
발달심리학 장르에서 인기 있는 도서는 무엇인가요?,"발달심리학 장르에서 인기 있는 도서는 50 이후, 인생을 결정하는 열 가지 힘, 엄마 심리 수업, 지혜롭게 나이 든다는 것, 내 편 만들기:친구 관계에 자신감을 주는 42가지 방법, 엄마 심리 수업:아이를 살리는 엄마의 여섯 단어, 자기표현 사전, 실수 때문에 마음이 무너지면 어떻게 하나요?, 이제 그만 일어나, 월터!:소아우울증, 나이 듦의 이로움:성공적인 노화 심리학, 늙는다는 착각 :하버드 심리학 거장이 전하는 건강하고 지혜롭게 사는 법  입니다."
유아 및 초등교육 장르에서 인기 있는 도서는 무엇인가요?,"유아 및 초등교육 장르에서 인기 있는 도서는 머리가 좋아지는 그림책, 초등학생이 되었다, (뽀롱뽀롱 뽀로로) 뚝딱뚝딱 만능 로봇, (뽀로로) 나도 병원에 갈 수 있어!:뽀로로 병원놀이, (뽀롱뽀롱 뽀로로) 공룡이 나타났어요!, 잘하는 게 뭘까요, (뽀롱뽀롱 뽀로로) 뽀로로는 채소를 좋아해요!:골고루 냠냠, 자꾸 말하고 싶어요, (뽀롱뽀롱 뽀로로) 뽀로로와 잠자는 공주님, 재미 100배 미로찾기:엄청 위험한 미로편 입니다."
"절족동물, 곤충류 장르에서 인기 있는 도서는 무엇인가요?","절족동물, 곤충류 장르에서 인기 있는 도서는 (봄·여름·가을·겨울) 신기한 곤충 이야기, 곤충의 비밀:독특한 외모로 살아남은 지구의 작은 친구들, 엄청나게 큰 곤충 백과, 곤충의 몸무게를 재 볼까?, 꿈틀꿈틀 곤충 여행:벌레들 세상이 궁금하다면 그림을 들춰 보세요!, 숲속의 곤충 씨름, 땅 위 땅 속:봄·여름·가을·겨울 곤충 한살이, 벅스, (개미에게 배우는) 생명의 탄생:개미의 혼인비행, 꿀벌과 거미를 지켜 줘 입니다."
오스트로네시아어 장르에서 인기 있는 도서는 무엇인가요?,오스트로네시아어 장르에서 인기 있는 도서는 (이것만 알면 통한다)여행 인도네시아어:여행에서 바로바로 찾아 쓰는 생생한 인도네시아어 회화 입니다.
"예배, 전례, 성례 장르에서 인기 있는 도서는 무엇인가요?","예배, 전례, 성례 장르에서 인기 있는 도서는 (팀 켈러의) 기도, 기도, 하늘의 능력을 다운로드하라 =Prayer , 습관이 영성이다:영성 형성에 미치는 습관의 힘, 왜 기도하는가?=Why pray, 이것이 예배이다  입니다."
민족학 장르에서 인기 있는 도서는 무엇인가요?,"민족학 장르에서 인기 있는 도서는 총, 균, 쇠, 총, 균, 쇠:무기·병균·금속은 인류의 운명을 어떻게 바꿨는가, 향모를 땋으며:토박이 지혜와 과학 그리고 식물이 가르쳐준 것들, 알고 있다는 착각 :당연한 것을 의심하고 낯선 진실을 발견하는 인류학자의 사고법 , 레비 - 스트로스의 인류학 강의:오늘날의 문제들에 답하는 인류학, 문화의 수수께끼, 호모 루덴스:놀이하는 인간, 울트라 소셜:사피엔스에 새겨진 ‘초사회성’의 비밀, (어느 외계인의) 인류학 보고서:지구인이 알아야 할 인류 문화 이야기, 개미는 왜 실패에도 불구하고 계속 투자하는가?  입니다."
"그래픽디자인, 도안, 포스터 장르에서 인기 있는 도서는 무엇인가요?","그래픽디자인, 도안, 포스터 장르에서 인기 있는 도서는 (포토샵으로 1시간 만에 완성하는) SNS 마케팅 디자인 무작정 따라하기, 단순함의 법칙:비지니스, 기술, 인생을 단순하게 디자인하는 법, 배려하는 디자인:세상과 공존하는 열다섯 가지 디자인 제안, 캘리그라피 소품만들기:60가지 핸드메이드 소품 만들기, 아이디어가 고갈된 디자이너를 위한 책:그래픽 디자인 편, 좋아하는 일을 하고 있다면:요리후지 분페이의 체험적 직업론, 버려지는 디자인 통과되는 디자인, 인포그래픽 반 고흐, 바이오필릭 디자인:당신의 공간에 자연 가져오기, (도널드 노먼의)디자인 심리학:UX와 HCI를 위한 인지과학 교과서 입니다."
인도) 장르에서 인기 있는 도서는 무엇인가요?,"인도) 장르에서 인기 있는 도서는 에베레스트:지구상에서 가장 높은 산 이야기, 네팔에서 태양을 보다, 네팔의 역사와 문화 산책, Yeti 네팔의 문화유적을 순례하다:이근후 박사의 네팔 문화유적 우표 이야기, 노빈손의 샨티샨티 인도 견문록 =India  입니다."
"수산업, 생물자원의 보호, 수렵업 장르에서 인기 있는 도서는 무엇인가요?","수산업, 생물자원의 보호, 수렵업 장르에서 인기 있는 도서는 우리 가족은 코끼리를 키운다, 우리 만난적 있나요? 입니다."
백과사전 장르에서 인기 있는 도서는 무엇인가요?,"백과사전 장르에서 인기 있는 도서는 미로탐험, 비교를 해 봐야 최고를 알지 입니다."
미생물학 장르에서 인기 있는 도서는 무엇인가요?,"미생물학 장르에서 인기 있는 도서는 바이러스 과학 수업 , 바이러스 헌터 =Virus hunter :백터와 배키의 오싹한 바이러스 일지 , 지구를 들었다 놨다! 세균과 바이러스:인류의 역사를 뒤바꾼 미생물, 바이러스에서 살아남기, 미생물:현미경으로 본 커다란 세상, (머릿속에 쏙쏙!) 미생물 노트, 세균, 두 얼굴의 룸메이트:치즈에서 코로나바이러스까지 아이러니한 미생물의 세계, 곽재식의 세균 박람회, 바이러스 쇼크:인류 재앙의 실체 알아야 살아남는다, 놀라운 박테리아:적군인가, 아군인가? 그 정체와 능력 입니다."
가정위생 장르에서 인기 있는 도서는 무엇인가요?,"가정위생 장르에서 인기 있는 도서는 병에 걸리지 않는 청소법:어차피 하는 청소 힘들이지 않고 확실하게, (미니멀라이프)물건 관리와 정리법:인기 미니멀리스트 21인의 물건 사용 아이디어, 버리는 즐거움:7:5:1 정리 법칙으로 일상이 행복해지는 기술, 우리 아이에게 안전한 집:친환경제품 전문가가 보증하는 생활 속 유해물질 사용설명서, 참 쉬운 청소:귀찮고 하기 싫은 청소를 즐거운 놀이로 바꾸는 노하우, 희나네집 똑소리 살림법  입니다."
"위생학, 공공의학 장르에서 인기 있는 도서는 무엇인가요?","위생학, 공공의학 장르에서 인기 있는 도서는 최강 청결 히어로 비누맨, 마녀체력:마흔, 여자가 체력을 키워야 할 때, 식사가 잘못됐습니다:의사가 가르쳐주는 최강의 식사 교과서, 손을 왜 씻어야 돼요?, 냠냠, 시간이 필요해, 어느 채식의사의 고백, 나는 매주 시체를 보러 간다, 요리를 멈추다:어느 채식부부의 고백, 나는 왜 쉬어도 피곤할까?:피로 전문 닥터가 가르쳐 주는 꿀팁 70가지, 나의 비거니즘 만화:어느 비건의 채식&동물권 이야기 입니다."
소형상품제조 장르에서 인기 있는 도서는 무엇인가요?,"소형상품제조 장르에서 인기 있는 도서는 레고 북, 레고 어드벤처 북 :시간 여행자의 모험 , 레고 스페이스 :우주 개척을 향한 인류의 위대한 발걸음 , 레고는 어떻게 태어났을까:아이디어로 세상을 바꾸다 입니다."
소설 장르에서 인기 있는 도서는 무엇인가요?,"소설 장르에서 인기 있는 도서는 마법의 시간여행, 구스범스, 윔피키드, (니키의) 도크 다이어리, 이사도라 문, 추리 천재 엉덩이 탐정, 볼 빨간 로타의 비밀, 암호 클럽, 스무고개 탐정, 엽기 과학자 프래니 입니다."
중국문학 장르에서 인기 있는 도서는 무엇인가요?,"중국문학 장르에서 인기 있는 도서는 루쉰 독본:<아Q정전>부터 <희망>까지, 루쉰 소설·산문집 입니다."
"심령연구 및 비학, 초심리학 장르에서 인기 있는 도서는 무엇인가요?","심령연구 및 비학, 초심리학 장르에서 인기 있는 도서는 당신, 전생에서 읽어드립니다:박진여 전생 리딩 이야기, (내면의 평온과 행복을 되찾아주는)파워 오브 러브 , 사후생:죽음 이후의 삶의 이야기, 지중해의 성자 다스칼로스, 영혼들의 기억 :삶과 삶 사이 영혼들의 계획과 약속 , 생각의 힘을 실험하다 :나와 세상을 바꾸는 생각의 힘  입니다."
산업경제 일반  장르에서 인기 있는 도서는 무엇인가요?,"산업경제 일반  장르에서 인기 있는 도서는 10년 후 :우리의 삶을 바꿀 10가지 미래산업 , 누가 미래의 자동차를 지배할 것인가, (2016) 업계지도, 4차 산업혁명과 제조업의 귀환:독일 전문가들이 들려주는 인더스트리 4.0의 모든 것, 거의 모든 IT의 역사 :세상의 패러다임을 바꾼 위대한 혁명 , 축적의 시간:Made in Korea, 새로운 도전을 시작하자 입니다."
사진집 장르에서 인기 있는 도서는 무엇인가요?,"사진집 장르에서 인기 있는 도서는 우연히, 웨스 앤더슨:그와 함께 여행하면 온 세상이 영화가 된다, 포토 아크, 새:알면 사랑할 지구별 조류 사진집, 게르트너 부부의 여행, 사울 레이터=Saul Leiter, (하나, 둘, 셋) 점프!, Human:인간:1957-2006 최민식 사진 50년 대표선집 입니다."
